Date,Equity,Holding
2012-04-20,15721.52486468942,QLD
2012-04-23,15452.586878941542,QLD
2012-04-24,15267.696179716784,QLD
2012-04-25,16078.710534399115,QLD
2012-04-26,16270.60226026012,QLD
2012-04-27,16463.903588799567,QLD
2012-04-30,16232.777921722005,QLD
2012-05-01,16280.40937967019,QLD
2012-05-02,16356.039480587096,QLD
2012-05-03,16015.677254937285,QLD
2012-05-04,15221.471046301273,QLD
2012-05-07,15242.48723879307,QLD
2012-05-08,15127.623196659608,QLD
2012-05-09,15077.199851235908,QLD
2012-05-10,14965.142994591524,QLD
2012-05-11,14973.5514384757,QLD
2012-05-14,14699.011101617469,QLD
2012-05-15,14592.55878151395,QLD
2012-05-16,14393.657287294658,QLD
2012-05-17,13785.75028784659,QLD
2012-05-18,13411.513885098191,TLT
2012-05-21,13383.435573837758,TLT
2012-05-22,13234.423242879022,TLT
2012-05-23,13326.207314644289,TLT
2012-05-24,13275.449404570822,TLT
2012-05-25,13325.126141716537,TLT
2012-05-29,13284.094019865268,TLT
2012-05-30,13621.001570129334,TLT
2012-05-31,13778.652556223045,TLT
2012-06-01,14105.763988383174,TLT
2012-06-04,13994.305430209357,TLT
2012-06-05,13807.115893785203,TLT
2012-06-06,13531.187927084658,TLT
2012-06-07,13551.752861317942,TLT
2012-06-08,13548.504574407109,TLT
2012-06-11,13610.175536469082,TLT
2012-06-12,13485.74290316223,TLT
2012-06-13,13618.830880050573,TLT
2012-06-14,13601.52019288759,TLT
2012-06-15,13677.265475520651,TLT
2012-06-18,13750.851988393888,TLT
2012-06-19,13571.221126208851,TLT
2012-06-20,13611.049271089989,QLD
2012-06-21,12918.698956373224,QLD
2012-06-22,13158.63143233713,TLT
2012-06-25,13350.189603485509,TLT
2012-06-26,13297.564993714006,TLT
2012-06-27,13318.616692806489,TLT
2012-06-28,13351.248217787746,TLT
2012-06-29,13177.583295174023,TLT
2012-07-02,13286.926678560041,QLD
2012-07-03,13505.15554472332,QLD
2012-07-05,13520.034236007537,QLD
2012-07-06,13180.301538939586,QLD
2012-07-09,13116.825952137719,TLT
2012-07-10,13143.427339424055,TLT
2012-07-11,13159.802356115835,TLT
2012-07-12,13252.922960071248,TLT
2012-07-13,13218.121128209581,TLT
2012-07-16,13279.5322215842,TLT
2012-07-17,13175.157098016145,TLT
2012-07-18,13182.320394457256,TLT
2012-07-19,13122.259398814573,QLD
2012-07-20,12788.935126061908,QLD
2012-07-23,12461.813236969101,TLT
2012-07-24,12559.951531651812,TLT
2012-07-25,12592.350428847274,TLT
2012-07-26,12477.060084881503,TLT
2012-07-27,12241.710632881463,TLT
2012-07-30,12308.530353037,QLD
2012-07-31,12288.093117923909,QLD
2012-08-01,12224.50490017823,QLD
2012-08-02,12140.479447319462,QLD
2012-08-03,12562.695296311063,TLT
2012-08-06,12542.502150239174,QLD
2012-08-07,12754.070360567812,QLD
2012-08-08,12729.572312202392,QLD
2012-08-09,12807.522701115211,QLD
2012-08-10,12834.244528071351,QLD
2012-08-13,12889.917172555422,QLD
2012-08-14,12905.508813932307,QLD
2012-08-15,12970.086996741402,QLD
2012-08-16,13272.961297479857,QLD
2012-08-17,13388.767173582117,QLD
2012-08-20,13433.301814515326,QLD
2012-08-21,13330.86293253572,QLD
2012-08-22,13431.081510578655,QLD
2012-08-23,13219.513300250017,QLD
2012-08-24,13370.950884951,QLD
2012-08-27,13417.722334427608,QLD
