Date,BIL,GLD,QQQ,SPY,VXUS
2014-01-30,74.84680938720703,119.7699966430664,78.44501495361328,145.98057556152344,34.88937759399414
2014-01-31,74.83052062988281,120.08999633789062,78.23641967773438,145.1253662109375,34.458229064941406
2014-02-03,74.83052062988281,121.31999969482422,76.4407730102539,141.85931396484375,33.82538604736328
2014-02-04,74.84680938720703,120.98999786376953,77.00306701660156,142.8529510498047,34.13138198852539
2014-02-05,74.83052062988281,121.29000091552734,76.80354309082031,142.67373657226562,34.20786666870117
2014-02-06,74.83052062988281,121.23999786376953,77.78296661376953,144.55523681640625,34.82678985595703
2014-02-07,74.84680938720703,122.16999816894531,79.17052459716797,146.3471221923828,35.19536209106445
2014-02-10,74.83052062988281,122.91999816894531,79.62395477294922,146.61585998535156,35.070194244384766
2014-02-11,74.83052062988281,124.36000061035156,80.53084564208984,148.22042846679688,35.60566329956055
2014-02-12,74.84680938720703,124.43000030517578,80.68501281738281,148.2937469482422,35.63347625732422
2014-02-13,74.84680938720703,125.48999786376953,81.28351593017578,149.059326171875,35.72389221191406
2014-02-14,74.84680938720703,127.1500015258789,81.44678497314453,149.8820037841797,35.95338439941406
2014-02-18,74.83052062988281,127.4000015258789,81.84581756591797,150.06112670898438,36.10636901855469
2014-02-19,74.84680938720703,126.2699966430664,81.28351593017578,149.06748962402344,35.87688446044922
2014-02-20,74.84680938720703,127.5999984741211,81.66441345214844,149.9470977783203,35.99509811401367
2014-02-21,74.83052062988281,127.58000183105469,81.55558776855469,149.7760772705078,36.12028121948242
2014-02-24,74.84680938720703,128.99000549316406,81.9908676147461,150.60691833496094,36.363677978515625
2014-02-25,74.84680938720703,129.2100067138672,81.90021514892578,150.54986572265625,36.314998626708984
2014-02-26,74.84680938720703,128.11000061035156,81.82767486572266,150.5579833984375,36.13419723510742
2014-02-27,74.83052062988281,128.1999969482422,82.35856628417969,151.3480987548828,36.308040618896484
2014-02-28,74.84680938720703,127.62000274658203,82.26748657226562,151.7308807373047,36.3845329284668
2014-03-03,74.84680938720703,130.2899932861328,81.6573715209961,150.66387939453125,35.67521667480469
2014-03-04,74.83052062988281,128.67999267578125,82.69547271728516,152.7815399169922,36.314998626708984
2014-03-05,74.84680938720703,128.88999938964844,82.92316436767578,152.91998291015625,36.314998626708984
2014-03-06,74.84680938720703,130.1699981689453,82.85031127929688,153.27027893066406,36.71834945678711
2014-03-07,74.83052062988281,129.08999633789062,82.44050598144531,153.3353729248047,36.433223724365234
2014-03-10,74.83052062988281,129.1300048828125,82.51335906982422,153.25393676757812,36.175907135009766
