Date,Open,High,Low,Close,Volume
1995-05-31,10.3444326349842,10.583484649658203,10.300968632316199,10.583484649658203,1400400.0
1995-06-01,10.540023138125736,10.5617551445961,10.3878990928332,10.431363105773926,567600.0
1995-06-02,10.36616486447838,10.474824873539998,10.344432862666055,10.409628868103027,654800.0
1995-06-05,10.409627989149586,10.583483988968368,10.344431989217542,10.540019989013672,666800.0
1995-06-06,10.520776945352553,10.67388596534729,10.477031511068343,10.49890422821045,776800.0
1995-06-07,10.455159584013355,10.477032302808361,10.345795990038319,10.41141414642334,411200.0
1995-06-08,10.389541427628334,10.498905021603369,10.389541427628334,10.41141414642334,564800.0
1995-06-09,10.455160230652899,10.455160230652899,10.214560309026995,10.236433029174805,1197600.0
1995-06-12,10.280176162719727,10.323921593199385,10.258303447479898,10.280176162719727,942000.0
1995-06-13,10.323914527893066,10.389532628705945,10.236423726809226,10.323914527893066,639200.0
1995-06-14,10.389532628705945,10.411405328976905,10.302041827622105,10.323914527893066,564800.0
1995-06-15,10.367667023679044,10.389539738918874,10.280176162719727,10.280176162719727,377600.0
1995-06-16,10.302047158100965,10.302047158100965,10.23642902333599,10.258301734924316,1264000.0
1995-06-19,10.280178469470425,10.280178469470425,10.192687588879187,10.236433029174805,706400.0
1995-06-20,10.25829962043352,10.25829962043352,10.017699842555547,10.170808792114258,693600.0
1995-06-21,10.19268551777149,10.19268551777149,10.08332193925463,10.148940086364746,656400.0
1995-06-22,10.105194075459842,10.236430362154126,10.105194075459842,10.214557647705078,554400.0
1995-06-23,10.214557647705078,10.214557647705078,10.148939504357937,10.214557647705078,355600.0
1995-06-26,10.214558233474863,10.236430949178235,10.127067370661374,10.148940086364746,1113600.0
1995-06-27,10.148940086364746,10.236430949178235,10.127067370661374,10.148940086364746,388000.0
1995-06-28,10.105198049749939,10.280179834161194,10.105198049749939,10.192688941955566,567200.0
1995-06-29,10.148940086364746,10.19268551777149,10.127067370661374,10.148940086364746,884400.0
1995-06-30,10.192681499194073,10.236426913353704,10.148936085034443,10.170808792114258,426400.0
1995-07-03,10.19268551777149,10.19268551777149,10.127067370661374,10.148940086364746,251200.0
1995-07-05,10.170815218785766,10.323924265090067,10.127069776984536,10.302051544189453,913600.0
1995-07-06,10.302049051357221,10.367667198181152,10.170812757709358,10.367667198181152,579600.0
1995-07-07,10.32392265382877,10.586395263671875,10.32392265382877,10.586395263671875,1128000.0
1995-07-10,10.826991278088403,10.914482116699219,10.783245858782996,10.914482116699219,1724800.0
1995-07-11,11.001978164227674,11.089469044261294,10.717632804118411,10.870741844177246,1394400.0
1995-07-12,10.826993375472558,10.870738803252245,10.761375233803028,10.783247947692871,1514400.0
1995-07-13,10.805122150421141,10.958231168746947,10.739503999710083,10.936358451843262,1221600.0
1995-07-14,10.89260941460019,11.067591091943166,10.89260941460019,11.023845672607422,1237200.0
1995-07-17,11.02384796750498,11.04572068172622,10.89261168217754,10.9801025390625,894400.0
1995-07-18,10.958233032604255,11.045723915100098,10.958233032604255,11.045723915100098,475200.0
1995-07-19,11.04572068172622,11.15508425283242,10.95822982484126,10.9801025390625,1383600.0
1995-07-20,10.936359330719592,11.176959235995422,10.936359330719592,11.155086517333984,1549600.0
1995-07-21,11.155080587967582,11.220698709073273,11.04571705279143,11.06758975982666,642000.0
1995-07-24,11.067586947327257,11.220695857665778,11.001968842896463,11.176950454711914,767600.0
1995-07-25,11.176952759115611,11.264443583061722,11.111334641156029,11.242570877075195,1124000.0
1995-07-26,11.242574116247535,11.351937677689632,11.220701403959115,11.308192253112793,1436800.0
1995-07-27,11.373809814453125,11.636282348632813,11.330064392089843,11.592536926269531,1154800.0
1995-07-28,11.592537695010806,11.592537695010806,11.483174131850326,11.505046844482422,891600.0
1995-07-31,11.505048340301801,11.658157348632812,11.505048340301801,11.658157348632812,797600.0
1995-08-01,11.658155059814453,11.658155059814453,11.54879150390625,11.592536926269531,688400.0
1995-08-02,11.636281400306203,11.811263075498777,11.59253598150806,11.701899528503418,637600.0
1995-08-03,11.614411917681096,11.767520926012107,11.570666486729378,11.658157348632812,907200.0
1995-08-04,11.658158630187764,11.83314037322998,11.592540476546931,11.83314037322998,390000.0
1995-08-07,11.833135990535512,11.898754119873047,11.745645151418799,11.898754119873047,769600.0
1995-08-08,11.98624707497725,12.117483356820065,11.811265365853494,11.876883506774902,842000.0
1995-08-09,11.942502951232576,12.073739247399969,11.89875751917678,12.05186653137207,1094400.0
1995-08-10,12.051864631010062,12.095610056167994,11.876882930378338,11.942501068115234,830000.0
1995-08-11,12.00811766876894,12.00811766876894,11.855008700314691,11.898754119873047,1153600.0
1995-08-14,11.855010408873952,11.96437397353146,11.855010408873952,11.920628547668457,748400.0
1995-08-15,11.920628547668457,11.94250126059996,11.745646844216443,11.920628547668457,498000.0
1995-08-16,11.811264792641442,11.964373780694201,11.811264792641442,11.942501068115234,632400.0
1995-08-17,11.964376680511645,11.964376680511645,11.811267655349704,11.83314037322998,768800.0
