Date,JEPI
2021-02-17,36.94740295410156
2021-02-18,36.993473052978516
2021-02-19,36.81575393676758
2021-02-22,36.73017120361328
2021-02-23,36.76308059692383
2021-02-24,36.907901763916016
2021-02-25,36.526119232177734
2021-02-26,36.18382263183594
2021-03-01,36.77906799316406
2021-03-02,36.74728775024414
2021-03-03,36.40961837768555
2021-03-04,36.045433044433594
2021-03-05,36.714176177978516
2021-03-08,36.866455078125
2021-03-09,37.11808395385742
2021-03-10,37.376304626464844
2021-03-11,37.50871658325195
2021-03-12,37.627891540527344
2021-03-15,37.78680419921875
2021-03-16,37.85301971435547
2021-03-17,37.74046325683594
2021-03-18,37.594791412353516
2021-03-19,37.502105712890625
2021-03-22,37.79343032836914
2021-03-23,37.81328201293945
2021-03-24,37.85301971435547
2021-03-25,38.00529098510742
