ticker,name,market
462520.KS,462520,KOSPI
123690.KS,123690,KOSPI
011000.KS,011000,KOSPI
090350.KS,090350,KOSPI
100250.KS,100250,KOSPI
016450.KS,016450,KOSPI
019440.KS,019440,KOSPI
018470.KS,018470,KOSPI
009270.KS,009270,KOSPI
00279K.KS,00279K,KOSPI
003460.KS,003460,KOSPI
012320.KS,012320,KOSPI
001360.KS,001360,KOSPI
008110.KS,008110,KOSPI
107590.KS,107590,KOSPI
008350.KS,008350,KOSPI
014710.KS,014710,KOSPI
002390.KS,002390,KOSPI
317400.KS,317400,KOSPI
000700.KS,000700,KOSPI
092220.KS,092220,KOSPI
002990.KS,002990,KOSPI
070960.KS,070960,KOSPI
460850.KS,460850,KOSPI
000970.KS,000970,KOSPI
008040.KS,008040,KOSPI
019680.KS,019680,KOSPI
083420.KS,083420,KOSPI
089470.KS,089470,KOSPI
003830.KS,003830,KOSPI
084670.KS,084670,KOSPI
027970.KS,027970,KOSPI
009580.KS,009580,KOSPI
298000.KS,298000,KOSPI
078000.KS,078000,KOSPI
094280.KS,094280,KOSPI
004970.KS,004970,KOSPI
210540.KS,210540,KOSPI
000230.KS,000230,KOSPI
214390.KS,214390,KOSPI
036420.KS,036420,KOSPI
003480.KS,003480,KOSPI
011280.KS,011280,KOSPI
004250.KS,004250,KOSPI
077500.KS,077500,KOSPI
350520.KS,350520,KOSPI
007540.KS,007540,KOSPI
095720.KS,095720,KOSPI
016710.KS,016710,KOSPI
015890.KS,015890,KOSPI
079430.KS,079430,KOSPI
005800.KS,005800,KOSPI
248170.KS,248170,KOSPI
013570.KS,013570,KOSPI
024090.KS,024090,KOSPI
011700.KS,011700,KOSPI
035000.KS,035000,KOSPI
002220.KS,002220,KOSPI
363280.KS,363280,KOSPI
004150.KS,004150,KOSPI
002200.KS,002200,KOSPI
003580.KS,003580,KOSPI
004080.KS,004080,KOSPI
014580.KS,014580,KOSPI
010660.KS,010660,KOSPI
002620.KS,002620,KOSPI
019180.KS,019180,KOSPI
021820.KS,021820,KOSPI
002460.KS,002460,KOSPI
03473K.KS,03473K,KOSPI
267290.KS,267290,KOSPI
012800.KS,012800,KOSPI
005960.KS,005960,KOSPI
120030.KS,120030,KOSPI
044820.KS,044820,KOSPI
007110.KS,007110,KOSPI
267850.KS,267850,KOSPI
069460.KS,069460,KOSPI
139990.KS,139990,KOSPI
015590.KS,015590,KOSPI
020120.KS,020120,KOSPI
067830.KS,067830,KOSPI
014530.KS,014530,KOSPI
004140.KS,004140,KOSPI
063160.KS,063160,KOSPI
004960.KS,004960,KOSPI
101140.KS,101140,KOSPI
