date,value,cash,holdings
2021-06-10,179631.4906379574,104.87704771693075,179526.61359024048
2021-06-11,179671.39099043544,104.87704771693075,179566.5139427185
2021-06-14,179184.98329085048,104.87704771693075,179080.10624313354
2021-06-15,180372.7352287167,104.87704771693075,180267.85818099976
2021-06-16,178918.78912275966,104.87704771693075,178813.91207504272
2021-06-17,176388.407767474,104.87704771693075,176283.53071975708
2021-06-18,172421.24097365077,104.87704771693075,172316.36392593384
2021-06-21,175787.25350874598,104.87704771693075,175682.37646102905
2021-06-22,176193.2424842709,104.87704771693075,176088.36543655396
2021-06-23,175777.41077727015,104.87704771693075,175672.53372955322
2021-06-24,177117.707301318,104.87704771693075,177012.83025360107
2021-06-25,177983.60122603114,104.87704771693075,177878.7241783142
2021-06-28,175654.28903502162,104.87704771693075,175549.4119873047
2021-06-29,175604.9507514828,104.87704771693075,175500.07370376587
2021-06-30,175812.72204512294,104.87704771693075,175707.844997406
2021-07-01,177273.07982623178,83.74524294932233,177189.33458328247
2021-07-02,177235.07919680674,83.74524294932233,177151.33395385742
2021-07-06,174786.7749670704,83.74524294932233,174703.0297241211
2021-07-07,174536.34299838144,83.74524294932233,174452.59775543213
2021-07-08,172934.9884070118,83.74524294932233,172851.2431640625
2021-07-09,175706.51905428965,83.74524294932233,175622.77381134033
2021-07-12,176044.7606009205,83.74524294932233,175961.0153579712
2021-07-13,174866.14819323618,83.74524294932233,174782.40295028687
2021-07-14,174021.2451399525,83.74524294932233,173937.49989700317
2021-07-15,173053.42041766245,83.74524294932233,172969.67517471313
2021-07-16,170731.09887301523,83.74524294932233,170647.35363006592
2021-07-19,167908.16624819834,83.74524294932233,167824.42100524902
2021-07-20,169705.69857775766,83.74524294932233,169621.95333480835
2021-07-21,172914.44105898935,83.74524294932233,172830.69581604004
2021-07-22,172188.29864489633,83.74524294932233,172104.55340194702
2021-07-23,172966.41051852304,83.74524294932233,172882.66527557373
2021-07-26,173995.45346819956,83.74524294932233,173911.70822525024
2021-07-27,173061.90352236826,83.74524294932233,172978.15827941895
2021-07-28,174108.15510928232,83.74524294932233,174024.409866333
2021-07-29,175923.9404181202,83.74524294932233,175840.1951751709
2021-07-30,174872.8507384022,83.74524294932233,174789.10549545288
2021-08-02,175042.69319521982,83.74524294932233,174958.9479522705
2021-08-03,176952.54805743296,83.74524294932233,176868.80281448364
2021-08-04,174799.49361025888,83.74524294932233,174715.74836730957
2021-08-05,175760.74337756235,83.74524294932233,175676.99813461304
2021-08-06,175896.29748522837,83.74524294932233,175812.55224227905
2021-08-09,175301.60712039072,83.74524294932233,175217.8618774414
2021-08-10,177014.80758654673,83.74524294932233,176931.0623435974
2021-08-11,177925.4334410389,83.74524294932233,177841.6881980896
2021-08-12,177583.65084063608,83.74524294932233,177499.90559768677
2021-08-13,177129.7781828602,83.74524294932233,177046.0329399109
2021-08-16,176265.47701251108,83.74524294932233,176181.73176956177
2021-08-17,174962.65153491098,83.74524294932233,174878.90629196167
2021-08-18,172865.0160330494,83.74524294932233,172781.2707901001
2021-08-19,170523.19674288828,83.74524294932233,170439.45149993896
2021-08-20,171405.97065722544,83.74524294932233,171322.22541427612
2021-08-23,173791.87620913584,83.74524294932233,173708.13096618652
2021-08-24,175205.89083849985,83.74524294932233,175122.14559555054
2021-08-25,176007.8343962391,83.74524294932233,175924.0891532898
2021-08-26,174352.39715182382,83.74524294932233,174268.6519088745
2021-08-27,176091.3055113514,83.74524294932233,176007.5602684021
2021-08-30,175954.7174948414,83.74524294932233,175870.9722518921
2021-08-31,175398.6555517872,83.74524294932233,175314.9103088379
2021-09-01,175227.42119665415,63.90571661264333,175163.5154800415
2021-09-02,177007.53807134897,63.90571661264333,176943.63235473633
2021-09-03,177038.15792913706,63.90571661264333,176974.2522125244
2021-09-07,176239.36219091684,63.90571661264333,176175.4564743042
2021-09-08,174869.9477850941,63.90571661264333,174806.04206848145
2021-09-09,174683.16320104868,63.90571661264333,174619.25748443604
2021-09-10,174010.61987371714,63.90571661264333,173946.7141571045
2021-09-13,175676.95016546518,63.90571661264333,175613.04444885254
2021-09-14,173805.6700217274,63.90571661264333,173741.76430511475
2021-09-15,176007.81668157846,63.90571661264333,175943.91096496582
2021-09-16,175295.3279120472,63.90571661264333,175231.42219543457
2021-09-17,174057.45790930063,63.90571661264333,173993.552192688
2021-09-20,170516.87822027475,63.90571661264333,170452.9725036621
2021-09-21,170855.55873937876,63.90571661264333,170791.6530227661
2021-09-22,173864.05541296274,63.90571661264333,173800.1496963501
2021-09-23,176874.55942602427,63.90571661264333,176810.65370941162
2021-09-24,176747.3262717274,63.90571661264333,176683.42055511475
2021-09-27,179036.84110327036,63.90571661264333,178972.93538665771
2021-09-28,177479.7097479847,63.90571661264333,177415.80403137207
2021-09-29,177405.29308386118,63.90571661264333,177341.38736724854
2021-09-30,174768.194573119,63.90571661264333,174704.28885650635
2021-10-01,177399.22963953286,109.45653772623045,177289.77310180664
2021-10-04,176938.22584390908,109.45653772623045,176828.76930618286
2021-10-05,178031.21175241738,109.45653772623045,177921.75521469116
2021-10-06,176812.76400232583,109.45653772623045,176703.3074645996
2021-10-07,178762.80049371987,109.45653772623045,178653.34395599365
2021-10-08,180045.58289575845,109.45653772623045,179936.12635803223
2021-10-11,178987.18189859658,109.45653772623045,178877.72536087036
2021-10-12,178934.52733469277,109.45653772623045,178825.07079696655
2021-10-13,180021.25850534707,109.45653772623045,179911.80196762085
2021-10-14,182036.49650430947,109.45653772623045,181927.03996658325
2021-10-15,183131.4260315922,109.45653772623045,183021.96949386597
2021-10-18,182983.49693918496,109.45653772623045,182874.04040145874
2021-10-19,184893.2390809086,109.45653772623045,184783.78254318237
2021-10-20,186452.29917001992,109.45653772623045,186342.8426322937
2021-10-21,185298.3057351139,109.45653772623045,185188.8491973877
2021-10-22,186164.889315131,109.45653772623045,186055.43277740479
2021-10-25,186998.15183496743,109.45653772623045,186888.6952972412
2021-10-26,186599.09347009927,109.45653772623045,186489.63693237305
2021-10-27,183695.12291574746,109.45653772623045,183585.66637802124
2021-10-28,185591.32119226723,109.45653772623045,185481.86465454102
2021-10-29,185707.5422234562,109.45653772623045,185598.08568572998
2021-11-01,187357.42195099907,50.70625275688898,187306.7156982422
2021-11-02,186744.0890461834,50.70625275688898,186693.3827934265
2021-11-03,187523.18009537773,50.70625275688898,187472.47384262085
2021-11-04,187443.04810685234,50.70625275688898,187392.34185409546
2021-11-05,189118.61607712822,50.70625275688898,189067.90982437134
2021-11-08,189868.64863175468,50.70625275688898,189817.9423789978
2021-11-09,190210.1091381939,50.70625275688898,190159.402885437
2021-11-10,188084.06765336113,50.70625275688898,188033.36140060425
2021-11-11,189043.08998841362,50.70625275688898,188992.38373565674
2021-11-12,189646.670779887,50.70625275688898,189595.96452713013
2021-11-15,190884.60654038505,50.70625275688898,190833.90028762817
2021-11-16,190920.60125702934,50.70625275688898,190869.89500427246
2021-11-17,189973.57986420707,50.70625275688898,189922.8736114502
2021-11-18,189185.92853898124,50.70625275688898,189135.22228622437
2021-11-19,186446.15777176933,50.70625275688898,186395.45151901245
2021-11-22,187704.45542878227,50.70625275688898,187653.7491760254
2021-11-23,189324.97124451713,50.70625275688898,189274.26499176025
2021-11-24,189514.21928376274,50.70625275688898,189463.51303100586
2021-11-26,184925.73696106987,50.70625275688898,184875.030708313
2021-11-29,185478.72357529716,50.70625275688898,185428.01732254028
2021-11-30,182162.06816453056,50.70625275688898,182111.36191177368
2021-12-01,180925.5698754528,52.68304607657995,180872.88682937622
2021-12-02,184873.45415661126,52.68304607657995,184820.77111053467
2021-12-03,183947.63285991937,52.68304607657995,183894.94981384277
2021-12-06,186254.46082470208,52.68304607657995,186201.7777786255
2021-12-07,189339.2910325268,52.68304607657995,189286.6079864502
2021-12-08,189729.23902675897,52.68304607657995,189676.55598068237
2021-12-09,188576.8747193554,52.68304607657995,188524.1916732788
2021-12-10,189341.47901317864,52.68304607657995,189288.79596710205
2021-12-13,186263.2311570385,52.68304607657995,186210.5481109619
2021-12-14,186093.71168300897,52.68304607657995,186041.02863693237
2021-12-15,186845.23183223992,52.68304607657995,186792.54878616333
2021-12-16,187749.64367077142,52.68304607657995,187696.96062469482
2021-12-17,185094.4834153393,52.68304607657995,185041.8003692627
2021-12-20,183588.11910793572,52.68304607657995,183535.43606185913
2021-12-21,186564.34045192986,52.68304607657995,186511.65740585327
2021-12-22,187827.1736924389,52.68304607657995,187774.4906463623
2021-12-23,188636.49701854974,52.68304607657995,188583.81397247314
2021-12-27,191277.15031215936,52.68304607657995,191224.46726608276
2021-12-28,191070.62008449822,52.68304607657995,191017.93703842163
2021-12-29,190903.0679490307,52.68304607657995,190850.3849029541
2021-12-30,190767.25707790643,52.68304607657995,190714.57403182983
2021-12-31,190607.8762604931,52.68304607657995,190555.1932144165
2022-01-03,192245.91117641717,52.68304607657995,192193.22813034058
2022-01-04,194302.31520244866,52.68304607657995,194249.63215637207
2022-01-05,193518.38174602776,52.68304607657995,193465.69869995117
2022-01-06,193968.65560314446,52.68304607657995,193915.97255706787
2022-01-07,195444.21230480462,52.68304607657995,195391.52925872803
2022-01-10,195146.82732174188,52.68304607657995,195094.14427566528
2022-01-11,198342.6942155102,52.68304607657995,198290.0111694336
2022-01-12,198848.89652416497,52.68304607657995,198796.21347808838
2022-01-13,197914.8150307873,52.68304607657995,197862.1319847107
2022-01-14,199168.29636547356,52.68304607657995,199115.61331939697
2022-01-18,197728.23288509637,52.68304607657995,197675.54983901978
2022-01-19,196838.04515621453,52.68304607657995,196785.36211013794
2022-01-20,195149.25104305535,52.68304607657995,195096.56799697876
2022-01-21,192447.34398815423,52.68304607657995,192394.66094207764
2022-01-24,192609.66578457147,52.68304607657995,192556.98273849487
2022-01-25,195470.6205193737,52.68304607657995,195417.93747329712
2022-01-26,194782.20345470696,52.68304607657995,194729.52040863037
2022-01-27,195716.5009629467,52.68304607657995,195663.81791687012
2022-01-28,194267.10558483392,52.68304607657995,194214.42253875732
2022-01-31,196431.45233700066,52.68304607657995,196378.76929092407
2022-02-01,198941.37334248234,-740.4038219768731,199681.77716445923
2022-02-02,199413.88367268254,-740.4038219768731,200154.28749465942
2022-02-03,198398.31009861638,-740.4038219768731,199138.71392059326
2022-02-04,197382.1439227741,-740.4038219768731,198122.54774475098
2022-02-07,197754.41787907292,-740.4038219768731,198494.8217010498
2022-02-08,197246.41140934636,-740.4038219768731,197986.81523132324
2022-02-09,197981.92536732365,-740.4038219768731,198722.32918930054
2022-02-10,196219.03903004338,-740.4038219768731,196959.44285202026
2022-02-11,197358.42707249333,-740.4038219768731,198098.83089447021
2022-02-14,195904.50763508488,-740.4038219768731,196644.91145706177
2022-02-15,195388.5328464191,-740.4038219768731,196128.936668396
2022-02-16,195961.25827595402,-740.4038219768731,196701.6620979309
2022-02-17,196067.50574299504,-740.4038219768731,196807.90956497192
2022-02-18,196741.01595493962,-740.4038219768731,197481.4197769165
2022-02-22,196461.67533680607,-740.4038219768731,197202.07915878296
2022-02-23,195438.1698589008,-740.4038219768731,196178.5736808777
2022-02-24,195302.04495808293,-740.4038219768731,196042.4487800598
2022-02-25,196539.13533589055,-740.4038219768731,197279.53915786743
2022-02-28,198479.6708202045,-740.4038219768731,199220.0746421814
2022-03-01,199625.3173528431,147.29438836555184,199478.02296447754
2022-03-02,197796.08763558845,147.29438836555184,197648.7932472229
2022-03-03,198566.35986764412,147.29438836555184,198419.06547927856
2022-03-04,199833.63002831917,147.29438836555184,199686.3356399536
2022-03-07,198766.82313210945,147.29438836555184,198619.5287437439
2022-03-08,198727.24901635628,147.29438836555184,198579.95462799072
2022-03-09,198229.64473779182,147.29438836555184,198082.35034942627
2022-03-10,197446.51243264656,147.29438836555184,197299.218044281
2022-03-11,197459.24600274544,147.29438836555184,197311.95161437988
2022-03-14,195199.18274362068,147.29438836555184,195051.88835525513
2022-03-15,194490.00752694588,147.29438836555184,194342.71313858032
2022-03-16,195950.7830396412,147.29438836555184,195803.48865127563
2022-03-17,195966.1782689808,147.29438836555184,195818.88388061523
2022-03-18,197198.55303246956,147.29438836555184,197051.258644104
2022-03-21,195703.01146371345,147.29438836555184,195555.7170753479
2022-03-22,194908.33098657112,147.29438836555184,194761.03659820557
2022-03-23,196426.9493375538,147.29438836555184,196279.65494918823
2022-03-24,196121.38328225593,147.29438836555184,195974.08889389038
2022-03-25,195450.80782754402,147.29438836555184,195303.51343917847
2022-03-28,195648.08862359505,147.29438836555184,195500.7942352295
2022-03-29,196404.06193215828,147.29438836555184,196256.76754379272
2022-03-30,196942.4630094288,147.29438836555184,196795.16862106323
2022-03-31,196452.33273751716,147.29438836555184,196305.0383491516
2022-04-01,197019.85949958686,153.8975130451189,196865.96198654175
2022-04-04,196619.2960955036,153.8975130451189,196465.3985824585
2022-04-05,194389.16280616645,153.8975130451189,194235.26529312134
2022-04-06,193608.91068138008,153.8975130451189,193455.01316833496
2022-04-07,193346.3774515522,153.8975130451189,193192.47993850708
2022-04-08,192900.75473274116,153.8975130451189,192746.85721969604
2022-04-11,191120.08931602363,153.8975130451189,190966.19180297852
2022-04-12,191262.1628595722,153.8975130451189,191108.2653465271
2022-04-13,191993.94396079902,153.8975130451189,191840.0464477539
2022-04-14,190380.72936500434,153.8975130451189,190226.83185195923
2022-04-18,190184.39636482124,153.8975130451189,190030.49885177612
2022-04-19,189651.60629524116,153.8975130451189,189497.70878219604
2022-04-20,191231.76412834052,153.8975130451189,191077.8666152954
2022-04-21,189664.6962381733,153.8975130451189,189510.79872512817
2022-04-22,188319.30871833686,153.8975130451189,188165.41120529175
2022-04-25,188703.81891120796,153.8975130451189,188549.92139816284
2022-04-26,188800.69451011543,153.8975130451189,188646.7969970703
2022-04-27,187966.1892649067,153.8975130451189,187812.29175186157
2022-04-28,189011.68985999946,153.8975130451189,188857.79234695435
2022-04-29,187230.27884925727,153.8975130451189,187076.38133621216
2022-05-02,186350.87455619697,153.8975130451189,186196.97704315186
2022-05-03,187327.87216819648,153.8975130451189,187173.97465515137
2022-05-04,188728.3174539936,153.8975130451189,188574.4199409485
2022-05-05,185860.08624900703,153.8975130451189,185706.1887359619
2022-05-06,185035.8694979084,153.8975130451189,184881.97198486328
2022-05-09,183846.5903383625,153.8975130451189,183692.69282531738
2022-05-10,184620.8485628498,153.8975130451189,184466.9510498047
2022-05-11,185955.84816993598,153.8975130451189,185801.95065689087
2022-05-12,186029.48229087715,153.8975130451189,185875.58477783203
2022-05-13,185885.57027686958,153.8975130451189,185731.67276382446
2022-05-16,186277.35406364326,153.8975130451189,186123.45655059814
2022-05-17,186057.40330375556,153.8975130451189,185903.50579071045
2022-05-18,186348.41402305488,153.8975130451189,186194.51651000977
2022-05-19,186500.7821527851,153.8975130451189,186346.88463974
2022-05-20,187406.26059593086,153.8975130451189,187252.36308288574
2022-05-23,186982.67212928657,153.8975130451189,186828.77461624146
2022-05-24,188204.70968879585,153.8975130451189,188050.81217575073
2022-05-25,189017.10419334297,153.8975130451189,188863.20668029785
2022-05-26,189213.71944297676,153.8975130451189,189059.82192993164
2022-05-27,189958.9449640644,153.8975130451189,189805.0474510193
2022-05-31,188000.1186663044,153.8975130451189,187846.22115325928
2022-06-01,187854.58267428473,192.94838168219943,187661.63429260254
2022-06-02,188218.84536959723,192.94838168219943,188025.89698791504
2022-06-03,187889.68290545538,192.94838168219943,187696.7345237732
2022-06-06,186540.53907610968,192.94838168219943,186347.5906944275
2022-06-07,187806.9034559925,192.94838168219943,187613.9550743103
2022-06-08,186928.79247119025,192.94838168219943,186735.84408950806
2022-06-09,186374.75251605108,192.94838168219943,186181.8041343689
2022-06-10,185156.1908247669,192.94838168219943,184963.24244308472
2022-06-13,181267.77693392828,192.94838168219943,181074.8285522461
