Date,PV_KRW,Signal,QuantScore,Emergency
2023-06-19,140415332.0865642,NORMAL,96.44615393418532,False
2023-06-20,140132192.31713557,NORMAL,96.44615393418532,False
2023-06-21,138392559.91237146,NORMAL,95.66153819744403,False
2023-06-22,139881564.78008816,NORMAL,97.2307696709266,False
2023-06-23,138890670.88073272,NORMAL,97.9000003521259,False
2023-06-26,138315694.19228768,NORMAL,96.6769240452693,False
2023-06-27,140444621.40078822,NORMAL,94.8076923076923,False
2023-06-28,139434860.317375,NORMAL,95.98461591280423,False
2023-06-29,140325314.96959955,NORMAL,96.6999992957482,False
2023-06-30,144630836.47550914,NORMAL,96.44615393418532,False
2023-07-03,144548538.69491324,NORMAL,96.33076887864333,False
2023-07-04,143537471.1866065,NORMAL,96.37692378117488,False
2023-07-05,141884289.91438985,NORMAL,96.37692378117488,False
2023-07-06,140865408.0165777,NORMAL,94.96923006497897,False
2023-07-07,141315816.59661636,NORMAL,92.06153942988469,False
2023-07-10,140239429.9586474,NORMAL,93.46923094529372,False
2023-07-11,141809503.14529976,NORMAL,87.42687667459603,False
2023-07-12,143817503.21343154,NORMAL,84.49026061238125,False
2023-07-13,144656470.09345394,NORMAL,93.86369124176682,False
2023-07-14,143739355.13166386,NORMAL,96.28461617689867,False
2023-07-17,145371775.06931755,NORMAL,96.9076919555664,False
2023-07-18,146519844.70725435,NORMAL,96.58461644099309,False
2023-07-19,146259006.62192014,NORMAL,96.99999955984262,False
2023-07-20,142440901.0337233,NORMAL,95.93846101027269,False
2023-07-21,143485832.0412482,NORMAL,95.40769283588116,False
2023-07-24,145096763.44382173,NORMAL,96.30769142737756,False
2023-07-25,145878417.71306503,NORMAL,95.5923080444336,False
2023-07-26,144639159.72253615,NORMAL,95.70769309997559,False
2023-07-27,143344384.7904407,NORMAL,97.25384712219238,False
2023-07-28,147651532.69042775,NORMAL,94.43846189058743,False
2023-07-31,146593740.0062433,NORMAL,96.93076940683218,False
2023-08-01,146317856.5928246,NORMAL,96.23846127436711,False
2023-08-02,143221332.12065893,NORMAL,95.54615314190204,False
2023-08-03,143585307.67829257,NORMAL,74.22495715434474,False
2023-08-04,142761465.44819146,NORMAL,81.72559464910624,False
2023-08-07,144696976.47000232,NORMAL,77.37931004792785,False
2023-08-08,143428580.63302362,NORMAL,89.38193780301344,False
2023-08-09,142903170.54778704,NORMAL,73.49375011463849,False
2023-08-10,142582226.986974,NORMAL,30.861538373506985,True
2023-08-11,141921311.86509743,NORMAL,31.115383735069862,True
2023-08-14,144400195.9966883,NORMAL,33.446153494027946,True
2023-08-15,142904548.76072598,NORMAL,63.492308396559494,False
2023-08-16,141049838.36513796,NORMAL,29.707694420447716,True
2023-08-17,139916101.80088708,NORMAL,28.96922918466421,True
2023-08-18,139262314.7856824,NORMAL,26.407693716195915,True
2023-08-21,141663341.27357322,NORMAL,27.769232529860275,True
2023-08-22,141353220.79000247,NORMAL,28.16154039823092,True
2023-08-23,144187061.3522547,NORMAL,28.53077081533579,True
2023-08-24,139686603.17007673,NORMAL,30.81538567176232,True
2023-08-25,140952675.26314044,NORMAL,27.99999823937049,True
2023-08-28,142031819.27673134,NORMAL,31.507691603440506,True
2023-08-29,145632534.48401302,NORMAL,32.892307868370644,True
2023-08-30,146151400.55917022,NORMAL,64.34615428631122,False
2023-08-31,146386150.06158537,NORMAL,73.90536757437319,False
2023-09-01,146663736.12448272,NORMAL,79.49630387676373,False
2023-09-04,145868762.77989444,NORMAL,84.53831122008498,False
2023-09-05,145526391.49800643,NORMAL,75.61882247817067,False
2023-09-06,145236797.84014353,NORMAL,84.39838065646299,False
2023-09-07,144249462.44754973,NORMAL,86.02011267604172,False
2023-09-08,144534763.60746294,NORMAL,45.96702719818317,False
2023-09-11,146893613.79134548,NORMAL,56.010851738735816,False
2023-09-12,143183333.72517657,NORMAL,86.66868651699627,False
2023-09-13,144038930.6189737,NORMAL,55.0972842410913,False
2023-09-14,146323372.5484683,NORMAL,96.58461644099309,False
2023-09-15,143650539.87047735,NORMAL,98.10769301194411,False
2023-09-18,144163965.5965389,NORMAL,65.86923085726224,False
2023-09-19,143624908.34813857,NORMAL,59.11767869994,False
2023-09-20,141386517.68715,NORMAL,58.0445960676033,False
2023-09-21,138054804.17797953,NORMAL,32.753845361562874,True
2023-09-22,139168164.11498964,NORMAL,27.215382502629208,True
2023-09-25,137836521.33340612,DANGER,27.99999823937049,True
2023-09-26,136576001.73461413,NORMAL,28.692308572622444,True
2023-09-27,137713757.16327572,DANGER,23.98461415217473,True
2023-09-28,137952975.81741488,DANGER,25.646155430720402,True
2023-09-29,137022999.30603692,DANGER,27.676922724797176,True
2023-10-02,136788798.4968654,DANGER,27.26153740516076,True
2023-10-03,136122701.34204936,NORMAL,27.05384474534255,True
2023-10-04,136574265.61960545,DANGER,22.046152261587288,True
2023-10-05,135864636.11798507,DANGER,24.815384791447567,True
2023-10-06,136072918.06984556,DANGER,25.023077451265777,True
2023-10-09,136083739.21182245,NORMAL,27.423075162447414,True
2023-10-10,136587154.38454816,NORMAL,26.846152085524338,True
2023-10-11,136827235.55721372,NORMAL,58.392306107741135,False
2023-10-12,136006240.43711403,NORMAL,60.56153810941256,False
2023-10-13,137442774.9625035,NORMAL,59.17692184448242,False
2023-10-16,138170454.02685854,NORMAL,23.10769301194411,True
2023-10-17,137751176.29448697,NORMAL,57.97692518967848,False
2023-10-18,137961532.93499136,NORMAL,56.18671073304614,False
2023-10-19,137594444.19962266,DANGER,23.338463123028095,True
2023-10-20,137104426.74401325,DANGER,26.520069093570058,True
2023-10-23,136406491.90126142,DANGER,17.592309805063103,True
2023-10-24,135455385.9889121,DANGER,20.684613447922928,True
2023-10-25,135404702.3115711,DANGER,41.39943865784716,True
2023-10-26,135477636.21692368,DANGER,21.099998767559345,True
2023-10-27,135136802.8790335,DANGER,19.969230064978966,True
2023-10-30,136448861.3832177,DANGER,18.607691251314606,True
2023-10-31,135307464.1223581,DANGER,22.115384615384613,True
2023-11-01,136187047.62377876,DANGER,25.830770639272835,True
2023-11-02,137444177.66827455,DANGER,28.761536524846004,True
2023-11-03,137115598.39420107,DANGER,45.378383550440724,True
2023-11-06,135854407.12108025,NORMAL,71.7832782891593,False
2023-11-07,135427265.93739614,NORMAL,71.21181684667104,False
2023-11-08,135615171.91570523,NORMAL,75.53140089686318,False
2023-11-09,134599919.5454321,NORMAL,70.20161096028804,False
2023-11-10,138433242.2132653,NORMAL,63.82351770389093,False
2023-11-13,138331490.67983052,NORMAL,94.99230751624475,False
2023-11-14,142697493.8528086,NORMAL,84.40176994534968,False
2023-11-15,141380685.34577036,NORMAL,95.01538496751051,False
2023-11-16,141688822.6312222,NORMAL,94.96923006497897,False
2023-11-17,140462124.34652779,NORMAL,94.64615455040564,False
2023-11-20,143021217.1025529,NORMAL,95.84615340599646,False
2023-11-21,141344419.81913418,NORMAL,96.74615419827975,False
2023-11-22,142726824.1268564,NORMAL,96.88461450430063,False
2023-11-23,143123546.2512308,NORMAL,98.03846065814679,False
2023-11-24,142912568.90138233,NORMAL,98.03846065814679,False
2023-11-27,141841722.78852016,NORMAL,98.93846145043005,False
2023-11-28,144277149.73334607,NORMAL,98.40769327603854,False
2023-11-29,142424787.2752164,NORMAL,98.40769327603854,False
2023-11-30,142037463.09511626,NORMAL,97.73846259483923,False
2023-12-01,143782439.11972606,NORMAL,97.87692290086012,False
2023-12-04,141616742.8966718,NORMAL,98.54615358205942,False
2023-12-05,142545709.48237425,NORMAL,97.50769248375525,False
2023-12-06,142182252.74781734,NORMAL,98.03846065814679,False
2023-12-07,144570808.6354448,NORMAL,97.76153784531813,False
2023-12-08,144980387.73905885,NORMAL,97.55384518549992,False
2023-12-11,146667336.4211003,NORMAL,99.19230681199294,False
2023-12-12,147695091.10563642,NORMAL,98.54615358205942,False
2023-12-13,150230041.6004987,NORMAL,99.83846224271335,False
2023-12-14,148600968.92961863,NORMAL,99.56153942988469,False
2023-12-15,148528734.26931965,NORMAL,98.8923087486854,False
2023-12-18,148116260.01234254,NORMAL,99.35384677006648,False
2023-12-19,152537497.77804467,NORMAL,98.70769133934607,False
2023-12-20,149190722.1173801,NORMAL,98.7769236931434,False
2023-12-21,151598574.34420687,NORMAL,96.1461536700909,False
2023-12-22,151262184.6618278,NORMAL,96.19230857262244,False
2023-12-25,151923815.4164931,NORMAL,97.62307753929724,False
2023-12-26,152849339.14816785,NORMAL,97.62307753929724,False
2023-12-27,153464788.03885862,NORMAL,97.71538514357347,False
2023-12-28,153846414.4755895,NORMAL,99.0076916034405,False
2023-12-29,150900966.86332092,NORMAL,98.91538399916429,False
2024-01-01,152547290.83552942,NORMAL,98.96153890169583,False
2024-01-02,149652580.6020703,NORMAL,98.96153890169583,False
2024-01-03,148752582.47457603,NORMAL,97.2307696709266,False
2024-01-04,147877095.47656867,NORMAL,95.29230778033917,False
2024-01-05,148356662.54573146,NORMAL,91.69132840256599,False
2024-01-08,151645260.98923865,NORMAL,88.7787751894575,False
2024-01-09,151036519.83075783,NORMAL,97.50769248375525,False
2024-01-10,152796600.19510892,NORMAL,96.17724563426076,False
2024-01-11,152835244.99836993,NORMAL,89.13260761377747,False
2024-01-12,152452277.52987838,NORMAL,93.80775858757889,False
2024-01-15,152552207.19890323,NORMAL,87.32448636201497,False
2024-01-16,151852766.14462158,NORMAL,78.65982156780255,False
2024-01-17,151931349.88319385,NORMAL,68.70077093872698,False
2024-01-18,155633248.63032168,NORMAL,80.97573039219566,False
2024-01-19,158490118.34576932,NORMAL,85.87660288928781,False
2024-01-22,157774975.37136346,NORMAL,96.99999955984262,False
2024-01-23,159398458.92240644,NORMAL,97.25384712219238,False
2024-01-24,159903229.38119242,NORMAL,98.73076879061185,False
2024-01-25,159386759.19269985,NORMAL,97.3692299769475,False
2024-01-26,159427700.59618583,NORMAL,96.65384659400354,False
2024-01-29,161815048.61366612,NORMAL,97.09230716411884,False
2024-01-30,160206471.34533098,NORMAL,96.30769142737756,False
2024-01-31,155727139.12552997,NORMAL,96.97692210857684,False
2024-02-01,159595788.59979647,NORMAL,94.57692219660832,False
2024-02-02,162196067.51018158,NORMAL,95.66153819744403,False
2024-02-05,162498962.14894128,NORMAL,95.73076835045447,False
2024-02-06,161942878.315974,NORMAL,96.1461536700909,False
2024-02-07,163448752.23667,NORMAL,97.55384518549992,False
2024-02-08,163786312.35929537,NORMAL,98.08461556067834,False
2024-02-09,166016803.89300883,NORMAL,98.17692316495456,False
2024-02-12,165540261.36041665,NORMAL,97.85384544959436,False
2024-02-13,161282120.55044824,NORMAL,95.54615314190204,False
2024-02-14,165298873.14239445,NORMAL,91.11538373506986,False
2024-02-15,164187149.4682532,NORMAL,94.50769204359788,False
2024-02-16,163149314.3503155,NORMAL,95.36153793334961,False
2024-02-19,163631013.3920496,NORMAL,93.68784094827798,False
2024-02-20,162722253.66210917,NORMAL,92.0335984665614,False
2024-02-21,162190154.7115067,NORMAL,74.3747156168552,False
2024-02-22,167452513.26856592,NORMAL,62.73639638916816,False
2024-02-23,166413105.00104398,NORMAL,93.2658509941032,False
2024-02-26,166008350.5771506,NORMAL,95.96153846153845,False
2024-02-27,166327694.7440611,NORMAL,87.64290253447318,False
2024-02-28,165737065.00976875,NORMAL,96.6999992957482,False
2024-02-29,167468921.91312402,NORMAL,95.75384580172025,False
2024-03-01,170912307.60104334,NORMAL,96.76923164954553,False
2024-03-04,170458526.3000378,NORMAL,97.43846233074481,False
2024-03-05,166628095.80022377,NORMAL,96.56153898972731,False
2024-03-06,168886025.58633602,NORMAL,86.94265379260582,False
2024-03-07,171224272.52297327,NORMAL,82.72019313882971,False
2024-03-08,168413805.5224192,NORMAL,94.369231737577,False
2024-03-11,167189173.20320892,NORMAL,69.60132512618333,False
2024-03-12,169197564.9878306,NORMAL,68.70094952484796,False
2024-03-13,168118452.2892032,NORMAL,95.75384580172025,False
2024-03-14,167855198.54150805,NORMAL,84.1515930141135,False
2024-03-15,166046991.13444322,NORMAL,76.861574952966,False
2024-03-18,168686469.97568238,NORMAL,73.76288821171737,False
2024-03-19,169800522.70211983,NORMAL,83.53887015146722,False
2024-03-20,173147203.4756409,NORMAL,95.38988938351619,False
2024-03-21,173365953.46343115,NORMAL,97.60000008803148,False
2024-03-22,173562094.70739692,NORMAL,92.05516198507809,False
2024-03-25,174412221.28415483,NORMAL,96.83362195384817,False
2024-03-26,173290860.12243405,NORMAL,92.60622468231107,False
2024-03-27,174742653.85766628,NORMAL,85.5631910066792,False
2024-03-28,175491217.31114137,NORMAL,97.45442838974243,False
2024-03-29,175491217.31114137,NORMAL,84.44831868129297,False
2024-04-01,174953549.7802121,NORMAL,67.66923024104192,False
2024-04-02,175502503.89000952,NORMAL,71.73785195744045,False
2024-04-03,175278652.98417237,NORMAL,83.60269181669008,False
2024-04-04,172045682.02233583,NORMAL,78.54020417120778,False
2024-04-05,174961446.95553395,NORMAL,29.96153758122371,True
2024-04-08,175117067.44104707,NORMAL,68.56638314299045,False
2024-04-09,176007968.5879418,NORMAL,76.65490935398486,False
2024-04-10,172346990.5744194,NORMAL,63.12307797945463,False
2024-04-11,177684796.23519164,NORMAL,61.230768790611855,False
2024-04-12,174313940.06799537,NORMAL,87.0022833845438,False
2024-04-15,173892057.64404684,NORMAL,74.66792291758136,False
2024-04-16,174358166.77562377,NORMAL,23.31538567176232,True
2024-04-17,172377211.28632414,NORMAL,25.230770111083984,True
2024-04-18,171309908.4914627,NORMAL,25.669232881986176,True
2024-04-19,168732306.32432842,NORMAL,26.153846153846153,True
2024-04-22,168772079.8785833,DANGER,24.515386728140022,True
2024-04-23,169892611.79399213,DANGER,28.599998767559345,True
2024-04-24,168641112.9595877,NORMAL,31.484616352961613,True
2024-04-25,169365453.39223182,NORMAL,30.83846092224121,True
2024-04-26,169352596.3045719,NORMAL,32.22307718717135,True
2024-04-29,170466679.6765809,NORMAL,33.007692923912636,True
2024-04-30,168603583.9858803,NORMAL,33.83846136239859,True
2024-05-01,169831320.8979616,NORMAL,31.57692395723783,True
2024-05-02,169302433.6945389,DANGER,32.1769222846398,True
2024-05-03,168555404.41191646,NORMAL,33.81538391113281,True
2024-05-06,168273643.38138998,NORMAL,36.56153898972731,True
2024-05-07,167814181.2545024,NORMAL,67.29718530276907,False
2024-05-08,168521716.42304346,NORMAL,67.16153951791617,False
2024-05-09,169303646.7349166,NORMAL,72.72674298905476,False
2024-05-10,169873025.8213286,NORMAL,68.40769327603854,False
2024-05-13,170266248.84526697,NORMAL,78.82977229796171,False
2024-05-14,170143163.80669212,NORMAL,96.30769142737756,False
2024-05-15,171453164.91059113,NORMAL,96.72307674701398,False
2024-05-16,169904783.1544105,NORMAL,98.96153890169583,False
2024-05-17,168973675.15668982,NORMAL,99.03076905470628,False
2024-05-20,169945635.1615208,NORMAL,100.0,False
2024-05-21,170649091.48998615,NORMAL,99.6538470341609,False
2024-05-22,170324828.39258736,NORMAL,100.0,False
2024-05-23,169554202.29772326,NORMAL,99.3307693188007,False
2024-05-24,170155074.5978027,NORMAL,98.22307586669922,False
2024-05-27,169917434.01819035,NORMAL,100.0,False
2024-05-28,169932880.78013152,NORMAL,100.0,False
2024-05-29,168875977.969569,NORMAL,97.87692290086012,False
2024-05-30,169332552.30945286,NORMAL,94.73846215468187,False
2024-05-31,169978176.2159974,NORMAL,94.29999938377966,False
2024-06-03,170883721.58692864,NORMAL,97.87692290086012,False
2024-06-04,169555877.35090154,NORMAL,97.43846233074481,False
2024-06-05,174354805.0880466,NORMAL,97.32307727520282,False
2024-06-06,174118135.3258462,NORMAL,98.54615358205942,False
2024-06-07,171974983.08377427,NORMAL,98.66153863760141,False
2024-06-10,174962120.6529322,NORMAL,99.49230707608737,False
2024-06-11,175316804.9236891,NORMAL,98.29230822049655,False
2024-06-12,179098266.67643353,NORMAL,98.03846065814679,False
