Date,Wealth,Invested
2020-03-11,89993.03881597948,60624.96509354928
2020-03-12,85676.46161816527,60648.9807316392
2020-03-13,88202.93588079474,60672.996369729124
2020-03-16,84219.4934144661,60697.012007819045
2020-03-17,86589.7174197061,60721.02764590896
2020-03-18,84346.30125608334,60745.04328399888
2020-03-19,82842.14187500476,60769.0589220888
2020-03-20,81705.37781774542,60793.07456017872
2020-03-23,80518.7963245899,60817.090198268634
2020-03-24,83934.27847787182,60841.105836358554
2020-03-25,84747.84447317892,60865.121474448475
2020-03-26,86840.47870592253,60889.137112538396
2020-03-27,86187.05496013198,60913.15275062831
2020-03-30,87172.25346999436,60937.16838871823
2020-03-31,86669.6987501224,60961.18402680815
2020-04-01,85623.6453468683,60985.19966489807
2020-04-02,86881.19159000853,61009.21530298799
2020-04-03,86506.47067287154,61033.230941077905
2020-04-06,88941.03971437927,61057.246579167826
2020-04-07,89118.87473174941,61081.26221725775
2020-04-08,90084.88076003542,61105.27785534767
2020-04-09,90704.014001023,61129.29349343758
2020-04-13,90295.35571184347,61153.3091315275
2020-04-14,93140.78653338757,61177.32476961742
2020-04-15,91585.24697893973,61201.34040770734
2020-04-16,92428.56977267048,61225.356045797256
2020-04-17,94267.58579114701,61249.37168388718
2020-04-20,92932.84560783132,61273.3873219771
2020-04-21,90397.75804309738,61297.40296006702
2020-04-22,92396.38502483096,61321.41859815694
2020-04-23,92456.83224264033,61345.43423624685
2020-04-24,93575.11465270676,61369.44987433677
2020-04-27,94784.59434910766,61393.465512426694
2020-04-28,94373.72831457875,61417.481150516614
2020-04-29,96522.28123359394,61441.49678860653
2020-04-30,95674.310730037,61465.51242669645
2020-05-01,93998.09777245569,61489.52806478637
2020-05-04,94205.594982649,61513.54370287629
2020-05-05,95000.67844702509,61537.55934096621
2020-05-06,95105.95275294555,61561.574979056124
2020-05-07,95825.23083541659,61585.590617146045
2020-05-08,97386.28442300626,61609.606255235965
2020-05-11,97641.29362285066,61633.621893325886
2020-05-12,95894.23086269251,61657.6375314158
2020-05-13,94824.60682959635,61681.65316950572
2020-05-14,95687.82099926547,61705.66880759564
2020-05-15,96064.6073690208,61729.68444568556
2020-05-18,98244.53050734982,61753.700083775475
2020-05-19,97813.13238810605,61777.715721865396
2020-05-20,99200.44962330419,61801.731359955316
2020-05-21,98380.38476227444,61825.74699804524
2020-05-22,98411.69602750838,61849.76263613516
2020-05-26,99292.66682575636,61873.77827422507
2020-05-27,100432.87389241466,61897.79391231499
2020-05-28,100191.92843445003,61921.80955040491
2020-05-29,100909.2931574285,61945.82518849483
2020-06-01,101734.40464642982,61969.84082658475
2020-06-02,102750.24419029473,61993.85646467467
2020-06-03,104003.53800527006,62017.87210276459
2020-06-04,103880.45767424422,62041.88774085451
2020-06-05,106003.9058770766,62065.90337894442
2020-06-08,107030.73051626742,62089.91901703434
2020-06-09,106849.1989249957,62113.93465512426
2020-06-10,106923.78095410722,62137.950293214184
2020-06-11,101788.63238097953,62161.965931304105
2020-06-12,102209.81450927778,62185.98156939402
2020-06-15,102411.54779595126,62209.99720748394
2020-06-16,104684.52263156266,62234.01284557386
2020-06-17,104636.87024233195,62258.02848366378
2020-06-18,104663.89565414074,62282.04412175369
2020-06-19,104506.2304476932,62306.059759843614
2020-06-22,104751.58863452853,62330.075397933535
2020-06-23,105330.95964865886,62354.091036023456
2020-06-24,103235.53626025,62378.10667411337
2020-06-25,103884.2291324258,62402.12231220329
2020-06-26,101932.35905257879,62426.13795029321
2020-06-29,103025.63713798388,62450.15358838313
2020-06-30,104559.46982355056,62474.16922647305
2020-07-01,105208.00673469625,62498.184864562965
2020-07-02,106047.09370962101,62522.200502652886
2020-07-06,107972.59417109129,62546.21614074281
2020-07-07,106822.37997443354,62570.23177883273
2020-07-08,107523.81871830348,62594.24741692264
2020-07-09,107112.02761537604,62618.26305501256
2020-07-10,108231.87790965581,62642.27869310248
2020-07-13,107593.2038638987,62666.2943311924
2020-07-14,108451.11392307907,62690.309969282316
2020-07-15,109472.55162105452,62714.32560737224
2020-07-16,109036.94079446017,62738.34124546216
2020-07-17,109170.09565128437,62762.35688355208
2020-07-20,110177.7084897357,62786.372521642
2020-07-21,110535.93889067874,62810.38815973191
2020-07-22,110994.26045285095,62834.40379782183
2020-07-23,109688.64659437077,62858.419435911754
2020-07-24,108990.2042076965,62882.435074001674
2020-07-27,110373.50331344502,62906.45071209159
2020-07-28,109831.34988243796,62930.46635018151
2020-07-29,111106.33021235584,62954.48198827143
2020-07-30,111335.52278397644,62978.49762636135
2020-07-31,112008.23730418224,63002.51326445127
2020-08-03,113387.61364000422,63026.528902541184
2020-08-04,113998.6077368919,63050.544540631105
2020-08-05,114814.7957437647,63074.560178721025
2020-08-06,115712.57451872606,63098.575816810946
2020-08-07,115732.0274311458,63122.59145490086
2020-08-10,116265.24286924537,63146.60709299078
2020-08-11,115481.4027036378,63170.6227310807
2020-08-12,117072.70640701454,63194.63836917062
2020-08-13,117018.7195060889,63218.654007260535
2020-08-14,116925.1932557394,63242.669645350456
2020-08-17,117414.46771590695,63266.685283440376
2020-08-18,117463.41466462344,63290.7009215303
2020-08-19,116861.13329813004,63314.71655962022
2020-08-20,116787.83702153698,63338.73219771013
2020-08-21,117293.90185186644,63362.74783580005
2020-08-24,118686.5259113546,63386.76347388997
2020-08-25,119074.22541211336,63410.77911197989
2020-08-26,120155.71870216445,63434.79475006981
2020-08-27,120081.08359524723,63458.81038815973
2020-08-28,120878.1271491125,63482.82602624965
2020-08-31,120628.61385264879,63506.84166433957
2020-09-01,122366.41627060124,63530.85730242948
2020-09-02,123796.36268470563,63554.8729405194
2020-09-03,120004.56770848951,63578.88857860932
2020-09-04,119159.5258213787,63602.904216699244
2020-09-08,115679.20340241605,63626.919854789165
2020-09-09,117599.0744003606,63650.93549287908
2020-09-10,115980.21912940289,63674.951130969
2020-09-11,115927.96592135266,63698.96676905892
2020-09-14,117748.5619928251,63722.98240714884
2020-09-15,118522.26838483829,63746.99804523875
2020-09-16,117924.06847191081,63771.013683328674
2020-09-17,116766.2353479887,63795.029321418595
2020-09-18,115713.3026203338,63819.044959508516
2020-09-21,114458.44754444361,63843.06059759843
2020-09-22,115057.93354916247,63867.07623568835
2020-09-23,112547.55368950394,63891.09187377827
2020-09-24,112610.42689203363,63915.10751186819
2020-09-25,114282.6736661371,63939.12314995811
2020-09-28,116529.30155303431,63963.138788048025
2020-09-29,116000.95574661825,63987.154426137946
2020-09-30,116644.46235494685,64011.17006422787
2020-10-01,118004.48786957524,64035.18570231779
2020-10-02,116680.77298752761,64059.2013404077
2020-10-05,119000.25758666579,64083.21697849762
2020-10-06,117732.68517918292,64107.23261658754
2020-10-07,119716.24547802213,64131.24825467746
2020-10-08,120723.13381148988,64155.263892767376
2020-10-09,121716.0309304382,64179.2795308573
2020-10-12,123775.65689691766,64203.29516894722
2020-10-13,123326.09947606575,64227.31080703714
2020-10-14,122701.78199985558,64251.32644512706
2020-10-15,122461.34873397562,64275.34208321697
2020-10-16,122124.53429410415,64299.35772130689
2020-10-19,120648.2568579464,64323.37335939681
2020-10-20,121015.89189529752,64347.388997486734
2020-10-21,120713.82754709136,64371.40463557665
2020-10-22,121112.80610242659,64395.42027366657
2020-10-23,121524.01945433638,64419.43591175649
2020-10-26,119552.67725237567,64443.45154984641
2020-10-27,119235.51571675882,64467.46718793633
2020-10-28,115698.97167528924,64491.482826026244
2020-10-29,117027.08945027256,64515.498464116165
2020-10-30,115302.0155760727,64539.514102206085
2020-11-02,117178.49120654704,64563.529740296006
2020-11-03,119217.2340447144,64587.54537838592
2020-11-04,121094.7059531837,64611.56101647584
2020-11-05,124110.04286265282,64635.57665456576
2020-11-06,123859.6582301377,64659.59229265568
2020-11-09,124934.87453095248,64683.607930745595
2020-11-10,124490.8350667583,64707.623568835515
2020-11-11,125920.75997957689,64731.639206925436
2020-11-12,124752.06940181882,64755.65484501536
2020-11-13,126365.02283769439,64779.67048310528
2020-11-16,128280.93838038042,64803.68612119519
2020-11-17,127942.84902807,64827.70175928511
2020-11-18,126976.09490839308,64851.71739737503
2020-11-19,127569.92807939499,64875.73303546495
2020-11-20,126867.96387835573,64899.74867355487
2020-11-23,127965.16345408761,64923.76431164479
2020-11-24,130047.57118362818,64947.77994973471
2020-11-25,129810.15443891588,64971.79558782463
2020-11-27,130396.92992409552,64995.81122591454
2020-11-30,129468.41127968764,65019.82686400446
2020-12-01,131771.06971058174,65043.84250209438
2020-12-02,132413.28848898291,65067.858140184304
2020-12-03,132786.9540190517,65091.873778274225
2020-12-04,134159.72445256985,65115.88941636414
2020-12-07,134310.2672610218,65139.90505445406
2020-12-08,134557.9379232599,65163.92069254398
2020-12-09,133566.1200073603,65187.9363306339
2020-12-10,133445.18088113196,65211.95196872381
2020-12-11,133161.87660987317,65235.967606813734
2020-12-14,132850.23958233354,65259.983244903655
2020-12-15,134200.4138427408,65283.998882993576
2020-12-16,134686.88342392832,65308.01452108349
2020-12-17,135213.0745842754,65332.03015917341
2020-12-18,134845.3712762415,65356.04579726333
2020-12-21,134385.12289690258,65380.06143535325
2020-12-22,133950.44117930887,65404.07707344317
2020-12-23,134381.43507204892,65428.092711533085
