Date,PV_KRW,Signal
2012-07-20,124932199.10468857,NORMAL
2012-07-23,122214092.93874213,DANGER
2012-07-24,122418993.1664232,DANGER
2012-07-25,122725996.17897631,DANGER
2012-07-26,124200877.40187024,DANGER
2012-07-27,125558969.09139955,DANGER
2012-07-30,121394701.08496827,NORMAL
2012-07-31,123828404.06763384,NORMAL
2012-08-01,122714328.63446695,NORMAL
2012-08-02,121142974.10668723,NORMAL
2012-08-03,124603295.67545855,DANGER
2012-08-06,121495082.60209368,NORMAL
2012-08-07,125961440.9288131,NORMAL
2012-08-08,126043694.71699011,NORMAL
2012-08-09,127040437.60714494,NORMAL
2012-08-10,127149514.20623463,NORMAL
2012-08-13,124653307.64080873,NORMAL
2012-08-14,127294003.49529634,NORMAL
2012-08-15,127661744.02769184,NORMAL
2012-08-16,129633744.70557514,NORMAL
2012-08-17,130301428.35628709,NORMAL
2012-08-20,130908959.90093791,NORMAL
2012-08-21,130357498.28942983,NORMAL
2012-08-22,130432226.66713506,NORMAL
2012-08-23,128979934.40626687,NORMAL
2012-08-24,130263045.29227342,NORMAL
2012-08-27,127944362.67078632,NORMAL
2012-08-28,130497180.88132368,NORMAL
2012-08-29,130469772.54891221,NORMAL
2012-08-30,128684519.91094466,NORMAL
2012-08-31,130242967.17349699,NORMAL
2012-09-03,130093614.38442497,NORMAL
2012-09-04,129572867.6192225,NORMAL
2012-09-05,129212094.2514499,NORMAL
2012-09-06,133294040.30999663,NORMAL
2012-09-07,133998970.15042815,NORMAL
2012-09-10,127687224.06102827,NORMAL
2012-09-11,131393545.66766779,NORMAL
2012-09-12,132084386.97881545,NORMAL
2012-09-13,134956085.90553504,NORMAL
2012-09-14,136971902.63364863,NORMAL
2012-09-17,135095441.67520878,NORMAL
2012-09-18,135203145.09194553,NORMAL
2012-09-19,135798601.41228765,NORMAL
2012-09-20,135035744.47826236,NORMAL
2012-09-21,135484463.27624837,NORMAL
2012-09-24,134708980.3580794,NORMAL
2012-09-25,132283719.21906158,NORMAL
2012-09-26,130761879.05645885,NORMAL
2012-09-27,133582748.01227722,NORMAL
2012-09-28,131915274.6104469,NORMAL
2012-10-01,130141001.18236776,NORMAL
2012-10-02,131711101.28309602,NORMAL
2012-10-03,132679218.18559037,NORMAL
2012-10-04,133674323.68094988,NORMAL
2012-10-05,132818917.09605327,NORMAL
2012-10-08,128020028.58082221,NORMAL
2012-10-09,128653756.75339667,NORMAL
2012-10-10,127477711.06999975,NORMAL
2012-10-11,127447426.97080769,NORMAL
2012-10-12,126939693.46492116,NORMAL
2012-10-15,127929196.82980095,NORMAL
2012-10-16,130056701.31828238,NORMAL
2012-10-17,129890921.16156852,NORMAL
2012-10-18,128167795.4696472,NORMAL
2012-10-19,124151536.28410444,NORMAL
2012-10-22,125220302.71379557,NORMAL
2012-10-23,122712754.38583815,NORMAL
2012-10-24,122715517.82555795,DANGER
2012-10-25,123620663.06473067,DANGER
2012-10-26,122915529.4197897,DANGER
2012-10-29,119879059.18605325,DANGER
2012-10-30,122904327.45800796,DANGER
2012-10-31,122642606.96597664,DANGER
2012-11-01,122567104.18019532,DANGER
2012-11-02,119886839.23939867,NORMAL
2012-11-05,120012375.62814912,DANGER
2012-11-06,120652984.98913106,DANGER
2012-11-07,119410317.8046679,DANGER
2012-11-08,118640682.95738056,DANGER
2012-11-09,118904893.97907907,DANGER
2012-11-12,115509546.02834468,DANGER
2012-11-13,118752263.01178505,DANGER
2012-11-14,117886661.79338156,DANGER
2012-11-15,117314231.07314183,DANGER
2012-11-16,117841042.70349996,DANGER
2012-11-19,119583763.69729117,DANGER
2012-11-20,118981886.53249371,DANGER
2012-11-21,118513977.45555772,DANGER
2012-11-22,118415386.57774031,DANGER
2012-11-23,119889734.22341079,DANGER
2012-11-26,116996121.40825641,DANGER
2012-11-27,119874586.362397,DANGER
2012-11-28,120370306.61232668,DANGER
2012-11-29,120741401.79808971,DANGER
2012-11-30,120541211.48634869,DANGER
2012-12-03,117338981.85043317,DANGER
2012-12-04,117150664.08307211,DANGER
2012-12-05,120322698.5370729,DANGER
2012-12-06,120628022.97286138,DANGER
2012-12-07,120922038.44347236,DANGER
2012-12-10,121268914.45302197,DANGER
2012-12-11,120782512.85376367,DANGER
2012-12-12,120217604.34461366,DANGER
2012-12-13,119778600.65296282,DANGER
2012-12-14,119891161.04272215,DANGER
2012-12-17,116970835.7398354,DANGER
2012-12-18,119678507.54675645,DANGER
2012-12-19,118700983.9135854,NORMAL
2012-12-20,118581491.43991579,DANGER
2012-12-21,118531043.39358737,DANGER
2012-12-24,118537131.69636254,DANGER
2012-12-25,118195433.53201109,DANGER
2012-12-26,117984740.9562841,DANGER
2012-12-27,118262496.24546519,DANGER
2012-12-28,118040048.34429833,DANGER
2012-12-31,115118259.33982348,DANGER
2013-01-01,117824056.85880584,DANGER
2013-01-02,119290330.64854413,DANGER
2013-01-03,117904517.7437162,NORMAL
2013-01-04,117367334.2562513,NORMAL
2013-01-07,113919623.60580774,NORMAL
2013-01-08,116885277.95020619,NORMAL
2013-01-09,117252477.99339059,NORMAL
2013-01-10,118156804.03321435,NORMAL
2013-01-11,117882623.75114854,NORMAL
2013-01-14,113570580.75759405,NORMAL
2013-01-15,116598732.98746112,NORMAL
2013-01-16,116971372.49354538,NORMAL
2013-01-17,118060638.27787676,NORMAL
2013-01-18,117716657.81452456,NORMAL
2013-01-21,115656532.73660882,NORMAL
2013-01-22,118751754.09115686,NORMAL
2013-01-23,118958118.67863317,NORMAL
2013-01-24,117500945.08844209,NORMAL
2013-01-25,117854262.98844258,NORMAL
2013-01-28,118398326.1426856,NORMAL
2013-01-29,120518641.5764894,NORMAL
2013-01-30,119629414.25275743,NORMAL
