Date,Super_Ensemble,SPY_BH
2020-05-25,1.0708439547835689,1.1480308546208153
2020-05-26,1.0724536467007992,1.162175364754114
2020-05-27,1.077400798893072,1.1794672448509484
2020-05-28,1.0779466197131504,1.1772913346075997
2020-05-29,1.0871510444656676,1.1825370369822406
2020-06-01,1.0949919396809369,1.1873166290978112
2020-06-02,1.1006812623652364,1.1971477860277309
2020-06-03,1.1101102848829343,1.213079673977552
2020-06-04,1.1091763880725898,1.209893322118212
2020-06-05,1.1214545221168752,1.2409024553319579
2020-06-08,1.1292981790051684,1.255901865457396
2020-06-09,1.1348496146522384,1.2465368187865462
2020-06-10,1.1441615369010514,1.2395817023869913
2020-06-11,1.1071889959963364,1.1681202968439202
2020-06-12,1.1062288280337353,1.1821096513127314
2020-06-15,1.0993501358681874,1.1931455160720554
2020-06-16,1.1248697705667223,1.2161108701724042
2020-06-17,1.1268650559493516,1.2110595626642982
2020-06-18,1.1267337344709232,1.2115254156171253
2020-06-19,1.129951880524287,1.2046015619260866
2020-06-22,1.1362912153036138,1.2123292403200427
2020-06-23,1.1436046197401752,1.2179108559948302
2020-06-24,1.1341081364350543,1.186843056957696
2020-06-25,1.1331526996896744,1.1995668506706494
2020-06-26,1.123127512559985,1.1710755876971077
2020-06-29,1.1251208984456103,1.1882874455523906
2020-06-30,1.139559556357489,1.203508782312357
2020-07-01,1.1454949065471505,1.2119392927088801
2020-07-02,1.1537975081195408,1.2186129160786683
2020-07-03,1.1558603585255633,1.2186129160786683
2020-07-06,1.176597449866981,1.2374252187649841
2020-07-07,1.1693246110668465,1.2246627004624695
2020-07-08,1.1777872329037817,1.2340298055832626
2020-07-09,1.1822618735469022,1.2270044445793875
2020-07-10,1.1842346793170266,1.2395326855477133
2020-07-13,1.1775054762388109,1.2287999275425623
2020-07-14,1.1836669849564827,1.2447238389988524
2020-07-15,1.1887444627569108,1.2561594290065703
2020-07-16,1.1793855974871468,1.252022587885842
2020-07-17,1.1846500265676945,1.2556520210955096
