MA1,MA2,CAGR (%),MDD (%),Sharpe,Switches
50,170,12.198902603534801,-26.574257597785156,0.6278791842877318,69
100,120,12.132569858129493,-25.7097445850196,0.6254266559094954,90
50,140,12.149910455253888,-28.01504849423977,0.6253669580124243,75
60,140,12.089178626399955,-27.735475688775956,0.6208979304887733,77
50,130,11.971448940045226,-28.015048494239725,0.6127625122549493,80
60,130,11.873739710529074,-27.73547568877589,0.6049678836171521,83
70,110,11.73086896914115,-24.585141683067036,0.6043161543910238,101
90,120,11.828549122728415,-25.70974458501961,0.6023243428645983,92
80,100,11.682555256692705,-24.04802375885644,0.6022376562466296,121
60,110,11.594636748302767,-23.998751107455462,0.5929591142770765,100
70,100,11.497336440008588,-23.795346688029973,0.5884759203882146,113
80,120,11.612502355142418,-25.89938866571455,0.5864890083746198,92
50,100,11.469990408071663,-25.38620999992769,0.5851488435955949,109
50,120,11.260213357464988,-26.424188804722892,0.5675975463087465,93
60,120,11.11383184115191,-26.424188804722924,0.5559057640530082,96
60,100,10.909078663296423,-25.096427397310705,0.5406376200704495,114
70,120,10.911808597096172,-27.06371172666846,0.5348692788705035,94
