Date,Event,Status,QQQ_Price,Portfolio_Value
2019-06-04,Switch to BTAL,DANGER,167.70188903808594,0.9182264311879922
2019-06-05,Switch to NORMAL (QQQ/KOSPI),NORMAL,168.94830322265625,0.913233002173134
2019-10-03,Switch to GLD,DANGER,179.15689086914062,0.954788864069107
2019-10-04,Switch to NORMAL (QQQ/KOSPI),NORMAL,181.79513549804688,0.958428962058334
2019-10-09,Switch to GLD,DANGER,180.27378845214844,0.955286848866766
2019-10-10,Switch to NORMAL (QQQ/KOSPI),NORMAL,181.66993713378906,0.9571202657768153
2020-03-10,Switch to BTAL,DANGER,196.95277404785156,0.9554583349837643
2020-03-11,Switch to NORMAL (QQQ/KOSPI),NORMAL,188.37448120117188,0.96118713299259
2020-03-12,Switch to BTAL,DANGER,171.10214233398438,0.9223064905881122
2020-03-25,Switch to GLD,DANGER,176.2824249267578,0.8695112544193706
2020-04-01,Switch to BTAL,DANGER,176.29205322265625,0.865888952400579
2020-04-07,Switch to GLD,DANGER,189.91696166992188,0.8825801998130713
2020-04-15,Switch to NORMAL (QQQ/KOSPI),NORMAL,202.51686096191406,0.9242182685198805
2022-01-19,Switch to DBC,DANGER,357.3558349609375,1.486923085760086
2022-03-30,Switch to NORMAL (QQQ/KOSPI),NORMAL,358.3931579589844,1.6569432699902433
2022-03-31,Switch to DBC,DANGER,353.95098876953125,1.6456397181744489
2022-07-07,Switch to BTAL,DANGER,288.545166015625,1.4705620205420504
2022-07-08,Switch to DBC,DANGER,288.9070129394531,1.4525311250455004
2022-07-13,Switch to BTAL,DANGER,279.4186706542969,1.4137823559649894
2022-07-14,Switch to DBC,DANGER,280.4164733886719,1.4090330473273303
2022-07-15,Switch to BTAL,DANGER,285.5030212402344,1.3959026921104816
2022-07-18,Switch to DBC,DANGER,283.0868225097656,1.3960253618285565
2022-08-05,Switch to UUP,DANGER,314.73114013671875,1.4335794215628999
2022-08-08,Switch to XLU,DANGER,313.7138671875,1.4349482068716906
2022-08-11,Switch to NORMAL (QQQ/KOSPI),NORMAL,317.0103759765625,1.4548432306177848
2022-08-23,Switch to XLU,DANGER,307.2480773925781,1.4200375342207954
2022-08-26,Switch to NORMAL (QQQ/KOSPI),NORMAL,300.7333679199219,1.428972445220858
2022-08-29,Switch to UUP,DANGER,297.7694396972656,1.387196217222691
2022-09-13,Switch to XLU,DANGER,287.2930908203125,1.3881322950174955
2022-09-14,Switch to UUP,DANGER,289.5722351074219,1.3420962144488886
2022-11-14,Switch to XLP,DANGER,279.7150573730469,1.3367747678350526
2022-11-16,Switch to UUP,DANGER,279.7150573730469,1.3351264658915538
2022-11-25,Switch to XLP,DANGER,281.1654052734375,1.3326499144284412
2022-11-28,Switch to UUP,DANGER,277.0397644042969,1.3304756360295824
2022-12-01,Switch to NORMAL (QQQ/KOSPI),NORMAL,287.8288879394531,1.3363296228892498
2022-12-06,Switch to XLP,DANGER,276.03045654296875,1.3091287911933978
2022-12-13,Switch to XLU,DANGER,282.8606262207031,1.3112655243019407
2022-12-19,Switch to XLP,DANGER,264.9725646972656,1.2739666980540614
2022-12-30,Switch to GLD,DANGER,261.5639953613281,1.2788489043978486
2023-01-24,Switch to NORMAL (QQQ/KOSPI),NORMAL,283.2627868652344,1.3495215819111064
2023-10-26,Switch to UUP,DANGER,339.0500183105469,1.4795870814190442
2023-10-27,Switch to DBC,DANGER,340.6778869628906,1.472562890588841
2023-11-01,Switch to UUP,DANGER,352.1716003417969,1.4716336196314304
2023-11-02,Switch to NORMAL (QQQ/KOSPI),NORMAL,358.564697265625,1.4739891930835
2024-08-06,Switch to XLU,DANGER,435.99542236328125,1.7662717963038206
2024-08-09,Switch to NORMAL (QQQ/KOSPI),NORMAL,446.78790283203125,1.7946731958121862
2024-09-09,Switch to XLU,DANGER,450.8053283691406,1.8049731410297265
2024-09-11,Switch to NORMAL (QQQ/KOSPI),NORMAL,464.8514709472656,1.8275376818719091
2025-03-04,Switch to GLD,DANGER,493.0494384765625,1.9505040719133364
2025-03-06,Switch to NORMAL (QQQ/KOSPI),NORMAL,485.7365417480469,1.9595205573891803
2025-03-07,Switch to GLD,DANGER,489.3084411621094,1.927320026371319
2025-05-13,Switch to NORMAL (QQQ/KOSPI),NORMAL,513.7533569335938,2.0840236210369296
