regime_threshold,rsi_crisis,rsi_normal,adx_min,vix_high,danger_ratio,switches,Final Value,Total Return,CAGR,MDD,Sharpe,Volatility
1.0,45,30,20,35,13.913690476190476,37,304245.7632362113,204.2457632362113,21.664847686066736,-20.70967335878409,1.4040973607405607,15.758745965452983
1.0,45,30,25,25,13.169642857142858,63,288994.5598518019,188.9945598518019,20.567080277187145,-23.1486272845186,1.3455851902094214,15.722357103615384
1.0,45,30,25,30,12.12797619047619,35,290263.27246035746,190.26327246035746,20.66019775326089,-23.167417025511476,1.3413586216988458,15.84806334696994
1.0,45,30,25,35,11.979166666666668,31,290100.58580901276,190.10058580901276,20.64827608836195,-23.16542262041877,1.3400930635376513,15.856139300413933
1.0,45,35,15,25,16.36904761904762,83,306579.29875706753,206.57929875706756,21.82879337647574,-20.004894924476417,1.4292576588784565,15.55978946103212
1.0,45,35,15,30,15.252976190476192,53,307731.13365140476,207.73113365140478,21.909338467613782,-20.00099902055711,1.4238443193648762,15.681840154709162
1.0,45,35,15,35,15.104166666666666,49,307546.4628977024,207.5464628977024,21.89644161325255,-20.001495317287592,1.4224541718446158,15.690169315633295
1.0,45,35,20,25,15.252976190476192,73,304242.94247181754,204.24294247181757,21.664648883579083,-20.70946964093431,1.4146268484724531,15.626613998987452
1.0,45,35,20,30,14.136904761904761,43,305376.29222453374,205.37629222453373,21.744403396785405,-20.709703098838517,1.4093213221980607,15.748612460221981
1.0,45,35,20,35,13.988095238095239,39,305194.5851464869,205.19458514648687,21.731632989155546,-20.70967335878409,1.40795880099074,15.756845158986238
1.0,45,35,25,25,13.169642857142858,63,288994.5598518019,188.9945598518019,20.567080277187145,-23.1486272845186,1.3455851902094214,15.722357103615384
1.0,45,35,25,30,12.12797619047619,35,290263.27246035746,190.26327246035746,20.66019775326089,-23.167417025511476,1.3413586216988458,15.84806334696994
1.0,45,35,25,35,11.979166666666668,31,290100.58580901276,190.10058580901276,20.64827608836195,-23.16542262041877,1.3400930635376513,15.856139300413933
1.0,45,40,15,25,16.36904761904762,83,306579.29875706753,206.57929875706756,21.82879337647574,-20.004894924476417,1.4292576588784565,15.55978946103212
1.0,45,40,15,30,15.252976190476192,53,307731.13365140476,207.73113365140478,21.909338467613782,-20.00099902055711,1.4238443193648762,15.681840154709162
1.0,45,40,15,35,15.104166666666666,49,307546.4628977024,207.5464628977024,21.89644161325255,-20.001495317287592,1.4224541718446158,15.690169315633295
1.0,45,40,20,25,15.252976190476192,73,304242.94247181754,204.24294247181757,21.664648883579083,-20.70946964093431,1.4146268484724531,15.626613998987452
1.0,45,40,20,30,14.136904761904761,43,305376.29222453374,205.37629222453373,21.744403396785405,-20.709703098838517,1.4093213221980607,15.748612460221981
